name,game_date,shot_made_flag
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1
LeBron James,2014-03-03,0
LeBron James,2014-03-03,1